station,temp_eve,latitude,longitude,lat_m,lon_m
KNCMADIS30,27.37741935483871,36.31643,-79.92758,4344249.4617765,-8897497.505938638
KNCMADIS43,28.096774193548388,36.35716,-79.98047,4349877.982310761,-8903385.193806693
KNCMAGGI38,21.98709677419355,35.508,-83.086,4233132.410689181,-9249091.212049928
KNCMAGGI45,21.845161290322583,35.501,-83.078,4232175.199976303,-9248200.656123582
KNCMAIDE28,27.81935483870968,35.554,-81.169,4239424.729746579,-9035691.748199223
KNCMAIDE32,27.57741935483871,35.54,-81.164,4237509.294169479,-9035135.150745256
KNCMAIDE44,27.916129032258063,35.573,-81.115,4242024.784591217,-9029680.495696384
KNCMAIDE8,29.358064516129033,35.54204,-81.08926,4237788.3796834545,-9026815.132003367
KNCMANTE27,28.06451612903226,35.89816,-75.64377,4286617.378077332,-8420625.958083505
KNCMANTE42,28.06451612903226,35.89337,-75.6668,4285959.150391921,-8423189.645956472
KNCMANTE64,27.787096774193547,35.905,-75.645,4287557.379775983,-8420762.881057179
KNCMAPLE11,27.59032258064516,36.404,-76.018,4356354.492521625,-8462285.05112307
KNCMAPLE16,27.86774193548387,34.702,-77.654,4123457.515830805,-8644403.738060866
KNCMAPLE6,27.596774193548388,34.705,-77.598,4123863.737347825,-8638169.846576443
KNCMAPLE9,28.177419354838708,34.702,-77.603,4123457.515830805,-8638726.444030408
KNCMARIO25,27.374193548387098,35.68398,-82.00705,4257224.182624535,-9128983.047458526
KNCMARIO26,26.506451612903227,35.65125,-81.96852,4252739.41193955,-9124693.90747826
KNCMARIO34,26.758064516129032,35.73104,-81.99061,4263675.722235838,-9127152.955029884
KNCMARIO38,26.403225806451612,35.688,-82.044,4257775.1428846475,-9133096.302643336
KNCMARIO40,26.938709677419357,35.636,-82.064,4250650.435133521,-9135322.692459201
KNCMARSH128,25.770967741935483,35.758,-82.642,4267373.434311907,-9199665.358137714
KNCMARSH170,26.306451612903224,35.801,-82.545,4273273.714459217,-9188867.367530767
KNCMARSH175,25.306451612903224,35.835,-82.533,4277941.313558841,-9187531.533641247
KNCMARSH66,25.661290322580644,35.83019,-82.52094,4277280.864149953,-9186189.020582281
KNCMARSH94,20.85483870967742,35.928,-82.501,4290718.80031181,-9183969.309935864
